type,subtype,bedroomCount,bathroomCount,province,postCode,habitableSurface,buildingCondition,facedeCount,hasTerrace,epcScore,price,price_per_m2
APARTMENT,PENTHOUSE,3.0,3.0,Brussels,1040,220.0,JUST_RENOVATED,2.0,1,C,950000.0,4318.18
APARTMENT,PENTHOUSE,3.0,3.0,Brussels,1040,198.0,JUST_RENOVATED,2.0,1,B,995000.0,5025.25
APARTMENT,APARTMENT,2.0,2.0,Brussels,1040,155.0,JUST_RENOVATED,2.0,1,C,900000.0,5806.45
APARTMENT,APARTMENT,2.0,1.0,Brussels,1040,70.0,TO_BE_DONE_UP,4.0,1,E,260000.0,3714.29
APARTMENT,APARTMENT,2.0,1.0,Brussels,1040,130.0,GOOD,2.0,1,C,525000.0,4038.46
APARTMENT,APARTMENT,1.0,1.0,Brussels,1040,70.0,AS_NEW,2.0,1,B,350000.0,5000.0
APARTMENT,APARTMENT,1.0,1.0,Brussels,1040,60.0,AS_NEW,2.0,0,F,290000.0,4833.33
APARTMENT,PENTHOUSE,2.0,1.0,Brussels,1040,187.0,JUST_RENOVATED,3.0,1,C,875000.0,4679.14
APARTMENT,FLAT_STUDIO,0.0,1.0,Brussels,1040,44.0,AS_NEW,2.0,1,D,269000.0,6113.64
APARTMENT,APARTMENT,2.0,1.0,Brussels,1040,84.0,GOOD,2.0,1,B,415000.0,4940.48
APARTMENT,APARTMENT,2.0,1.0,Brussels,1040,85.0,GOOD,2.0,1,D,435000.0,5117.65
APARTMENT,APARTMENT,1.0,1.0,Brussels,1040,67.0,AS_NEW,2.0,1,B,350000.0,5223.88
